EM,,,Awarded marks,,
Question ,Avaiblable marks,,Solution 1 ,Solution 2,Solution 3
1,8,,6,8,8
2,5,,4,4,4
3,14,,8,11,10
4,11,,9,11,9
5,11,,2,1,2
6,5,,5,4,4
7,6,,2,3,3
8,6,,2,2,1
9,15,,6,7,8
10,7,,3,2,4
,,,,,
Total marks,88,,,,
