CM,,,Awarded marks,,
Question ,Avaiblable marks,,Solution 1 ,Solution 2,Solution 3
1,4,,4,4,4
2,6,,5,5,5
3,6,,6,6,6
4,18,,18,18,18
5,9,,9,9,3
6,16,,6,14,12
7,13,,13,11,9
8,10,,6,6,6
9,7,,7,7,7
10,8,,8,8,8
,,,,,
Total marks,97,,,,
